type,lastSoldPrice,sqft,stories,beds,baths,baths_full,garage,age,lat,long
single_family,825000.0,1804.0,1.0,3.0,3.0,2.0,1.0,69.0,27.7456,-82.7516
single_family,340000.0,1263.0,1.0,2.0,2.0,2.0,1.0,65.0,27.2889,-80.298
mobile,129900.0,1000.0,1.0,2.0,2.0,2.0,0.0,51.0,28.0724,-81.8122
single_family,369900.0,1930.0,1.0,4.0,3.0,2.0,2.0,8.0,30.4129,-87.3092
condos,290000.0,1534.0,1.0,2.0,2.0,2.0,1.0,31.0,26.0426,-81.7182
single_family,350000.0,1851.0,1.0,3.0,2.0,2.0,2.0,27.0,28.9341,-81.9599
condos,45000.0,720.0,2.0,1.0,2.0,1.0,0.0,52.0,26.4517,-80.158
single_family,650000.0,2527.0,2.0,4.0,3.0,3.0,2.0,5.0,29.5565,-81.219
condos,380000.0,1460.0,4.0,2.0,2.0,2.0,0.0,34.0,26.4543,-80.1346
single_family,599999.0,2087.0,1.0,3.0,2.0,2.0,2.0,8.0,28.1331,-80.7112
condos,780000.0,1839.0,1.0,3.0,4.0,3.0,0.0,20.0,30.3737,-87.3126
condos,2720000.0,2500.0,1.0,3.0,4.0,3.0,2.0,1.0,26.2343,-80.0941
mobile,320000.0,1976.0,1.0,4.0,2.0,2.0,0.0,9.0,30.1459,-81.5739
single_family,305000.0,1844.0,1.0,4.0,2.0,2.0,2.0,5.0,30.4756,-87.3179
single_family,275000.0,1392.0,1.0,3.0,2.0,2.0,2.0,10.0,28.9338,-81.9914
single_family,207500.0,1136.0,1.0,2.0,2.0,2.0,0.0,44.0,27.0606,-82.352
single_family,450000.0,2686.0,1.0,2.0,2.0,2.0,3.0,55.0,27.4676,-81.4581
single_family,555000.0,1722.0,1.0,3.0,2.0,2.0,2.0,26.0,26.4517,-80.158
mobile,65000.0,960.0,1.0,2.0,2.0,2.0,0.0,54.0,27.9085,-82.7568
single_family,365000.0,1819.0,1.0,3.0,2.0,2.0,2.0,42.0,29.1383,-80.9956
single_family,330000.0,1976.0,2.0,2.0,3.0,2.0,2.0,22.0,29.0247,-80.9584
single_family,725000.0,3016.0,1.0,4.0,3.0,3.0,3.0,23.0,30.5169,-86.4822
single_family,875000.0,1077.0,1.0,2.0,2.0,2.0,4.0,60.0,24.7279,-81.0386
single_family,575000.0,2366.0,1.0,3.0,2.0,2.0,2.0,37.0,27.09,-82.37
single_family,1100000.0,4743.0,1.0,3.0,4.0,3.0,3.0,30.0,26.5228,-81.7065
mobile,152000.0,1120.0,1.0,2.0,2.0,2.0,0.0,38.0,28.1421,-82.5905
condos,226000.0,1263.0,1.0,2.0,2.0,2.0,1.0,33.0,26.4972,-81.8246
single_family,577750.0,1926.0,1.0,3.0,2.0,2.0,2.0,41.0,26.6265,-81.9677
single_family,380000.0,1949.0,1.0,4.0,2.0,2.0,2.0,7.0,30.4735,-81.5448
mobile,65000.0,1600.0,1.0,2.0,2.0,2.0,0.0,34.0,27.6001,-81.5015
condos,405000.0,1414.0,1.0,2.0,2.0,2.0,1.0,26.0,26.1184,-81.7361
single_family,715000.0,2314.0,1.0,4.0,3.0,2.0,3.0,7.0,26.8842,-82.2691
condos,280000.0,1415.0,1.0,3.0,2.0,2.0,0.0,29.0,26.5025,-81.9276
condos,260000.0,1415.0,1.0,3.0,2.0,2.0,0.0,27.0,26.5025,-81.9276
single_family,1300000.0,2280.0,1.0,4.0,2.0,2.0,2.0,20.0,26.3304,-81.5871
condos,295000.0,1306.0,1.0,2.0,2.0,2.0,0.0,23.0,26.4351,-81.8102
condos,730000.0,2015.0,1.0,3.0,3.0,3.0,2.0,29.0,26.2534,-81.7644
townhomes,300000.0,1531.0,2.0,3.0,3.0,2.0,1.0,10.0,30.4212,-86.8926
condos,155000.0,1151.0,1.0,2.0,2.0,2.0,1.0,38.0,27.7147,-82.3538
condos,270000.0,1542.0,2.0,2.0,2.0,2.0,0.0,47.0,26.1184,-81.7361
single_family,1210000.0,3040.0,1.0,3.0,3.0,3.0,2.0,41.0,26.1938,-81.7636
